# r  u  V_H  V_eff
2.340000000010e-01 7.049688990780e-01 1.554428662394e+00 1.554428662394e+00
2.350000000010e-01 7.066413516296e-01 1.553527681664e+00 1.553527681664e+00
2.360000000010e-01 7.083052695156e-01 1.552625332722e+00 1.552625332722e+00
2.370000000010e-01 7.099606824461e-01 1.551721628784e+00 1.551721628784e+00
2.380000000010e-01 7.116076200330e-01 1.550816582994e+00 1.550816582994e+00
2.390000000010e-01 7.132461117899e-01 1.549910208424e+00 1.549910208424e+00
2.400000000010e-01 7.148761871326e-01 1.549002518078e+00 1.549002518078e+00
2.410000000010e-01 7.164978753791e-01 1.548093524886e+00 1.548093524886e+00
2.420000000010e-01 7.181112057504e-01 1.547183241709e+00 1.547183241709e+00
2.430000000010e-01 7.197162073705e-01 1.546271681339e+00 1.546271681339e+00
2.440000000010e-01 7.213129092666e-01 1.545358856496e+00 1.545358856496e+00
2.450000000010e-01 7.229013403697e-01 1.544444779834e+00 1.544444779834e+00
2.460000000010e-01 7.244815295147e-01 1.543529463935e+00 1.543529463935e+00
2.470000000010e-01 7.260535054409e-01 1.542612921314e+00 1.542612921314e+00
2.480000000010e-01 7.276172967920e-01 1.541695164419e+00 1.541695164419e+00
2.490000000010e-01 7.291729321167e-01 1.540776205627e+00 1.540776205627e+00
2.500000000010e-01 7.307204398689e-01 1.539856057249e+00 1.539856057249e+00
2.510000000010e-01 7.322598484080e-01 1.538934731530e+00 1.538934731530e+00
2.520000000010e-01 7.337911859990e-01 1.538012240647e+00 1.538012240647e+00
2.530000000010e-01 7.353144808133e-01 1.537088596710e+00 1.537088596710e+00
2.540000000010e-01 7.368297609284e-01 1.536163811764e+00 1.536163811764e+00
2.550000000010e-01 7.383370543288e-01 1.535237897786e+00 1.535237897786e+00
2.560000000010e-01 7.398363889058e-01 1.534310866690e+00 1.534310866690e+00
2.570000000010e-01 7.413277924579e-01 1.533382730324e+00 1.533382730324e+00
2.580000000010e-01 7.428112926915e-01 1.532453500470e+00 1.532453500470e+00
2.590000000010e-01 7.442869172206e-01 1.531523188846e+00 1.531523188846e+00
2.600000000010e-01 7.457546935676e-01 1.530591807106e+00 1.530591807106e+00
2.610000000010e-01 7.472146491631e-01 1.529659366841e+00 1.529659366841e+00
2.620000000010e-01 7.486668113467e-01 1.528725879576e+00 1.528725879576e+00
2.630000000010e-01 7.501112073671e-01 1.527791356775e+00 1.527791356775e+00
2.640000000010e-01 7.515478643822e-01 1.526855809837e+00 1.526855809837e+00
2.650000000010e-01 7.529768094596e-01 1.525919250101e+00 1.525919250101e+00
2.660000000010e-01 7.543980695769e-01 1.524981688841e+00 1.524981688841e+00
2.670000000010e-01 7.558116716218e-01 1.524043137270e+00 1.524043137270e+00
2.680000000010e-01 7.572176423928e-01 1.523103606539e+00 1.523103606539e+00
2.690000000010e-01 7.586160085989e-01 1.522163107739e+00 1.522163107739e+00
2.700000000010e-01 7.600067968603e-01 1.521221651898e+00 1.521221651898e+00
2.710000000010e-01 7.613900337087e-01 1.520279249983e+00 1.520279249983e+00
2.720000000010e-01 7.627657455873e-01 1.519335912902e+00 1.519335912902e+00
2.730000000010e-01 7.641339588514e-01 1.518391651503e+00 1.518391651503e+00
2.740000000010e-01 7.654946997684e-01 1.517446476573e+00 1.517446476573e+00
2.750000000010e-01 7.668479945185e-01 1.516500398838e+00 1.516500398838e+00
2.760000000010e-01 7.681938691944e-01 1.515553428968e+00 1.515553428968e+00
2.770000000010e-01 7.695323498021e-01 1.514605577571e+00 1.514605577571e+00
2.780000000010e-01 7.708634622608e-01 1.513656855199e+00 1.513656855199e+00
2.790000000010e-01 7.721872324036e-01 1.512707272343e+00 1.512707272343e+00
2.800000000010e-01 7.735036859773e-01 1.511756839437e+00 1.511756839437e+00
2.810000000010e-01 7.748128486430e-01 1.510805566857e+00 1.510805566857e+00
2.820000000010e-01 7.761147459764e-01 1.509853464922e+00 1.509853464922e+00
2.830000000010e-01 7.774094034679e-01 1.508900543894e+00 1.508900543894e+00
2.840000000010e-01 7.786968465229e-01 1.507946813976e+00 1.507946813976e+00
2.850000000010e-01 7.799771004621e-01 1.506992285315e+00 1.506992285315e+00
2.860000000010e-01 7.812501905221e-01 1.506036968004e+00 1.506036968004e+00
2.870000000010e-01 7.825161418550e-01 1.505080872077e+00 1.505080872077e+00
2.880000000010e-01 7.837749795292e-01 1.504124007512e+00 1.504124007512e+00
2.890000000010e-01 7.850267285296e-01 1.503166384235e+00 1.503166384235e+00
2.900000000010e-01 7.862714137578e-01 1.502208012112e+00 1.502208012112e+00
2.910000000010e-01 7.875090600323e-01 1.501248900958e+00 1.501248900958e+00
2.920000000010e-01 7.887396920888e-01 1.500289060530e+00 1.500289060530e+00
2.930000000010e-01 7.899633345807e-01 1.499328500532e+00 1.499328500532e+00
2.940000000010e-01 7.911800120789e-01 1.498367230614e+00 1.498367230614e+00
2.950000000010e-01 7.923897490727e-01 1.497405260373e+00 1.497405260373e+00
2.960000000010e-01 7.935925699694e-01 1.496442599350e+00 1.496442599350e+00
2.970000000010e-01 7.947884990952e-01 1.495479257033e+00 1.495479257033e+00
2.980000000010e-01 7.959775606948e-01 1.494515242859e+00 1.494515242859e+00
2.990000000010e-01 7.971597789324e-01 1.493550566211e+00 1.493550566211e+00
3.000000000010e-01 7.983351778912e-01 1.492585236417e+00 1.492585236417e+00
3.010000000010e-01 7.995037815744e-01 1.491619262757e+00 1.491619262757e+00
3.020000000010e-01 8.006656139050e-01 1.490652654455e+00 1.490652654455e+00
3.030000000010e-01 8.018206987261e-01 1.489685420687e+00 1.489685420687e+00
3.040000000010e-01 8.029690598012e-01 1.488717570573e+00 1.488717570573e+00
3.050000000010e-01 8.041107208147e-01 1.487749113185e+00 1.487749113185e+00
3.060000000010e-01 8.052457053718e-01 1.486780057543e+00 1.486780057543e+00
3.070000000010e-01 8.063740369990e-01 1.485810412617e+00 1.485810412617e+00
3.080000000010e-01 8.074957391443e-01 1.484840187324e+00 1.484840187324e+00
3.090000000010e-01 8.086108351774e-01 1.483869390534e+00 1.483869390534e+00
3.100000000010e-01 8.097193483900e-01 1.482898031064e+00 1.482898031064e+00
3.110000000010e-01 8.108213019959e-01 1.481926117683e+00 1.481926117683e+00
3.120000000010e-01 8.119167191318e-01 1.480953659110e+00 1.480953659110e+00
3.130000000010e-01 8.130056228568e-01 1.479980664015e+00 1.479980664015e+00
3.140000000010e-01 8.140880361531e-01 1.479007141018e+00 1.479007141018e+00
3.150000000010e-01 8.151639819264e-01 1.478033098692e+00 1.478033098692e+00
3.160000000010e-01 8.162334830057e-01 1.477058545560e+00 1.477058545560e+00
3.170000000010e-01 8.172965621437e-01 1.476083490097e+00 1.476083490097e+00
3.180000000010e-01 8.183532420175e-01 1.475107940729e+00 1.475107940729e+00
3.190000000010e-01 8.194035452281e-01 1.474131905836e+00 1.474131905836e+00
3.200000000010e-01 8.204474943012e-01 1.473155393750e+00 1.473155393750e+00
3.210000000010e-01 8.214851116873e-01 1.472178412755e+00 1.472178412755e+00
3.220000000010e-01 8.225164197619e-01 1.471200971087e+00 1.471200971087e+00
3.230000000010e-01 8.235414408258e-01 1.470223076938e+00 1.470223076938e+00
3.240000000010e-01 8.245601971054e-01 1.469244738451e+00 1.469244738451e+00
3.250000000010e-01 8.255727107526e-01 1.468265963722e+00 1.468265963722e+00
3.260000000010e-01 8.265790038456e-01 1.467286760803e+00 1.467286760803e+00
3.270000000010e-01 8.275790983888e-01 1.466307137700e+00 1.466307137700e+00
3.280000000010e-01 8.285730163131e-01 1.465327102371e+00 1.465327102371e+00
3.290000000010e-01 8.295607794761e-01 1.464346662731e+00 1.464346662731e+00
3.300000000010e-01 8.305424096623e-01 1.463365826648e+00 1.463365826648e+00
3.310000000010e-01 8.315179285838e-01 1.462384601945e+00 1.462384601945e+00
3.320000000010e-01 8.324873578798e-01 1.461402996402e+00 1.461402996402e+00
3.330000000010e-01 8.334507191173e-01 1.460421017753e+00 1.460421017753e+00
3.340000000010e-01 8.344080337915e-01 1.459438673688e+00 1.459438673688e+00
3.350000000010e-01 8.353593233256e-01 1.458455971852e+00 1.458455971852e+00
3.360000000010e-01 8.363046090711e-01 1.457472919848e+00 1.457472919848e+00
3.370000000010e-01 8.372439123085e-01 1.456489525234e+00 1.456489525234e+00
3.380000000010e-01 8.381772542470e-01 1.455505795523e+00 1.455505795523e+00
3.390000000010e-01 8.391046560250e-01 1.454521738189e+00 1.454521738189e+00
3.400000000010e-01 8.400261387103e-01 1.453537360659e+00 1.453537360659e+00
3.410000000010e-01 8.409417233002e-01 1.452552670320e+00 1.452552670320e+00
3.420000000010e-01 8.418514307221e-01 1.451567674513e+00 1.451567674513e+00
3.430000000010e-01 8.427552818332e-01 1.450582380540e+00 1.450582380540e+00
3.440000000010e-01 8.436532974213e-01 1.449596795658e+00 1.449596795658e+00
3.450000000010e-01 8.445454982046e-01 1.448610927086e+00 1.448610927086e+00
3.460000000010e-01 8.454319048320e-01 1.447624781997e+00 1.447624781997e+00
3.470000000010e-01 8.463125378835e-01 1.446638367525e+00 1.446638367525e+00
