# r  u  V_H  V_x  V_eff
9.700000000100e-02 3.737072967731e-01 3.227484240799e+00 -1.311506357516e+00 1.915977883283e+00
9.800000000100e-02 3.768166986155e-01 3.226420858333e+00 -1.309784603358e+00 1.916636254975e+00
9.900000000100e-02 3.799125544994e-01 3.225349687917e+00 -1.308065440884e+00 1.917284247033e+00
1.000000000010e-01 3.829949102585e-01 3.224270782616e+00 -1.306348866889e+00 1.917921915727e+00
1.010000000010e-01 3.860638115952e-01 3.223184195222e+00 -1.304634878164e+00 1.918549317059e+00
1.020000000010e-01 3.891193040812e-01 3.222089978254e+00 -1.302923471489e+00 1.919166506765e+00
1.030000000010e-01 3.921614331573e-01 3.220988183958e+00 -1.301214643644e+00 1.919773540314e+00
1.040000000010e-01 3.951902441338e-01 3.219878864311e+00 -1.299508391399e+00 1.920370472912e+00
1.050000000010e-01 3.982057821906e-01 3.218762071022e+00 -1.297804711520e+00 1.920957359502e+00
1.060000000010e-01 4.012080923772e-01 3.217637855532e+00 -1.296103600768e+00 1.921534254764e+00
1.070000000010e-01 4.041972196132e-01 3.216506269016e+00 -1.294405055898e+00 1.922101213118e+00
1.080000000010e-01 4.071732086881e-01 3.215367362383e+00 -1.292709073660e+00 1.922658288723e+00
1.090000000010e-01 4.101361042617e-01 3.214221186278e+00 -1.291015650797e+00 1.923205535481e+00
1.100000000010e-01 4.130859508644e-01 3.213067791087e+00 -1.289324784050e+00 1.923743007036e+00
1.110000000010e-01 4.160227928969e-01 3.211907226930e+00 -1.287636470153e+00 1.924270756777e+00
1.120000000010e-01 4.189466746309e-01 3.210739543671e+00 -1.285950705835e+00 1.924788837836e+00
1.130000000010e-01 4.218576402091e-01 3.209564790912e+00 -1.284267487821e+00 1.925297303091e+00
1.140000000010e-01 4.247557336451e-01 3.208383018001e+00 -1.282586812831e+00 1.925796205170e+00
1.150000000010e-01 4.276409988240e-01 3.207194274025e+00 -1.280908677579e+00 1.926285596446e+00
1.160000000010e-01 4.305134795024e-01 3.205998607821e+00 -1.279233078776e+00 1.926765529045e+00
1.170000000010e-01 4.333732193086e-01 3.204796067969e+00 -1.277560013129e+00 1.927236054839e+00
1.180000000010e-01 4.362202617427e-01 3.203586702796e+00 -1.275889477339e+00 1.927697225457e+00
1.190000000010e-01 4.390546501771e-01 3.202370560380e+00 -1.274221468103e+00 1.928149092277e+00
1.200000000010e-01 4.418764278562e-01 3.201147688547e+00 -1.272555982115e+00 1.928591706432e+00
1.210000000010e-01 4.446856378971e-01 3.199918134874e+00 -1.270893016063e+00 1.929025118811e+00
1.220000000010e-01 4.474823232895e-01 3.198681946691e+00 -1.269232566633e+00 1.929449380058e+00
1.230000000010e-01 4.502665268958e-01 3.197439171080e+00 -1.267574630505e+00 1.929864540574e+00
1.240000000010e-01 4.530382914518e-01 3.196189854878e+00 -1.265919204357e+00 1.930270650521e+00
1.250000000010e-01 4.557976595662e-01 3.194934044678e+00 -1.264266284862e+00 1.930667759816e+00
1.260000000010e-01 4.585446737216e-01 3.193671786829e+00 -1.262615868688e+00 1.931055918141e+00
1.270000000010e-01 4.612793762738e-01 3.192403127440e+00 -1.260967952503e+00 1.931435174936e+00
1.280000000010e-01 4.640018094528e-01 3.191128112376e+00 -1.259322532969e+00 1.931805579407e+00
1.290000000010e-01 4.667120153627e-01 3.189846787265e+00 -1.257679606744e+00 1.932167180521e+00
1.300000000010e-01 4.694100359818e-01 3.188559197495e+00 -1.256039170484e+00 1.932520027010e+00
1.310000000010e-01 4.720959131629e-01 3.187265388217e+00 -1.254401220842e+00 1.932864167375e+00
1.320000000010e-01 4.747696886337e-01 3.185965404345e+00 -1.252765754465e+00 1.933199649880e+00
1.330000000010e-01 4.774314039966e-01 3.184659290559e+00 -1.251132768000e+00 1.933526522559e+00
1.340000000010e-01 4.800811007293e-01 3.183347091304e+00 -1.249502258090e+00 1.933844833215e+00
1.350000000010e-01 4.827188201849e-01 3.182028850794e+00 -1.247874221373e+00 1.934154629420e+00
1.360000000010e-01 4.853446035921e-01 3.180704613007e+00 -1.246248654488e+00 1.934455958519e+00
1.370000000010e-01 4.879584920554e-01 3.179374421695e+00 -1.244625554067e+00 1.934748867627e+00
1.380000000010e-01 4.905605265552e-01 3.178038320377e+00 -1.243004916743e+00 1.935033403635e+00
1.390000000010e-01 4.931507479485e-01 3.176696352346e+00 -1.241386739142e+00 1.935309613204e+00
1.400000000010e-01 4.957291969683e-01 3.175348560666e+00 -1.239771017892e+00 1.935577542775e+00
1.410000000010e-01 4.982959142248e-01 3.173994988176e+00 -1.238157749614e+00 1.935837238562e+00
1.420000000010e-01 5.008509402049e-01 3.172635677488e+00 -1.236546930931e+00 1.936088746557e+00
1.430000000010e-01 5.033943152726e-01 3.171270670991e+00 -1.234938558459e+00 1.936332112531e+00
1.440000000010e-01 5.059260796694e-01 3.169900010851e+00 -1.233332628816e+00 1.936567382035e+00
1.450000000010e-01 5.084462735145e-01 3.168523739012e+00 -1.231729138614e+00 1.936794600397e+00
1.460000000010e-01 5.109549368048e-01 3.167141897197e+00 -1.230128084466e+00 1.937013812730e+00
1.470000000010e-01 5.134521094154e-01 3.165754526909e+00 -1.228529462980e+00 1.937225063928e+00
1.480000000010e-01 5.159378310997e-01 3.164361669432e+00 -1.226933270764e+00 1.937428398668e+00
1.490000000010e-01 5.184121414896e-01 3.162963365834e+00 -1.225339504423e+00 1.937623861411e+00
1.500000000010e-01 5.208750800958e-01 3.161559656964e+00 -1.223748160560e+00 1.937811496404e+00
1.510000000010e-01 5.233266863082e-01 3.160150583457e+00 -1.222159235777e+00 1.937991347680e+00
1.520000000010e-01 5.257669993957e-01 3.158736185732e+00 -1.220572726673e+00 1.938163459059e+00
1.530000000010e-01 5.281960585070e-01 3.157316503995e+00 -1.218988629847e+00 1.938327874149e+00
1.540000000010e-01 5.306139026702e-01 3.155891578242e+00 -1.217406941894e+00 1.938484636348e+00
1.550000000010e-01 5.330205707937e-01 3.154461448253e+00 -1.215827659409e+00 1.938633788844e+00
1.560000000010e-01 5.354161016661e-01 3.153026153600e+00 -1.214250778985e+00 1.938775374615e+00
1.570000000010e-01 5.378005339562e-01 3.151585733647e+00 -1.212676297215e+00 1.938909436432e+00
1.580000000010e-01 5.401739062138e-01 3.150140227546e+00 -1.211104210687e+00 1.939036016859e+00
1.590000000010e-01 5.425362568696e-01 3.148689674245e+00 -1.209534515992e+00 1.939155158254e+00
1.600000000010e-01 5.448876242354e-01 3.147234112484e+00 -1.207967209715e+00 1.939266902768e+00
1.610000000010e-01 5.472280465045e-01 3.145773580797e+00 -1.206402288445e+00 1.939371292352e+00
1.620000000010e-01 5.495575617521e-01 3.144308117515e+00 -1.204839748766e+00 1.939468368749e+00
1.630000000010e-01 5.518762079349e-01 3.142837760765e+00 -1.203279587262e+00 1.939558173502e+00
1.640000000010e-01 5.541840228923e-01 3.141362548470e+00 -1.201721800516e+00 1.939640747954e+00
1.650000000010e-01 5.564810443458e-01 3.139882518355e+00 -1.200166385111e+00 1.939716133245e+00
1.660000000010e-01 5.587673098997e-01 3.138397707942e+00 -1.198613337626e+00 1.939784370316e+00
1.670000000010e-01 5.610428570413e-01 3.136908154554e+00 -1.197062654643e+00 1.939845499911e+00
1.680000000010e-01 5.633077231411e-01 3.135413895315e+00 -1.195514332742e+00 1.939899562574e+00
1.690000000010e-01 5.655619454529e-01 3.133914967153e+00 -1.193968368500e+00 1.939946598653e+00
1.700000000010e-01 5.678055611143e-01 3.132411406797e+00 -1.192424758495e+00 1.939986648302e+00
1.710000000010e-01 5.700386071470e-01 3.130903250783e+00 -1.190883499306e+00 1.940019751478e+00
1.720000000010e-01 5.722611204567e-01 3.129390535451e+00 -1.189344587508e+00 1.940045947943e+00
1.730000000010e-01 5.744731378336e-01 3.127873296947e+00 -1.187808019679e+00 1.940065277268e+00
1.740000000010e-01 5.766746959528e-01 3.126351571224e+00 -1.186273792393e+00 1.940077778832e+00
1.750000000010e-01 5.788658313741e-01 3.124825394045e+00 -1.184741902226e+00 1.940083491819e+00
1.760000000010e-01 5.810465805427e-01 3.123294800979e+00 -1.183212345753e+00 1.940082455226e+00
1.770000000010e-01 5.832169797894e-01 3.121759827409e+00 -1.181685119550e+00 1.940074707859e+00
1.780000000010e-01 5.853770653305e-01 3.120220508525e+00 -1.180160220189e+00 1.940060288336e+00
1.790000000010e-01 5.875268732685e-01 3.118676879331e+00 -1.178637644246e+00 1.940039235085e+00
1.800000000010e-01 5.896664395921e-01 3.117128974643e+00 -1.177117388294e+00 1.940011586349e+00
1.810000000010e-01 5.917958001766e-01 3.115576829092e+00 -1.175599448907e+00 1.939977380184e+00
1.820000000010e-01 5.939149907838e-01 3.114020477122e+00 -1.174083822660e+00 1.939936654462e+00
1.830000000010e-01 5.960240470630e-01 3.112459952993e+00 -1.172570506126e+00 1.939889446867e+00
1.840000000010e-01 5.981230045505e-01 3.110895290783e+00 -1.171059495879e+00 1.939835794904e+00
1.850000000010e-01 6.002118986703e-01 3.109326524384e+00 -1.169550788493e+00 1.939775735891e+00
1.860000000010e-01 6.022907647341e-01 3.107753687509e+00 -1.168044380543e+00 1.939709306967e+00
1.870000000010e-01 6.043596379418e-01 3.106176813690e+00 -1.166540268602e+00 1.939636545088e+00
1.880000000010e-01 6.064185533816e-01 3.104595936277e+00 -1.165038449245e+00 1.939557487032e+00
1.890000000010e-01 6.084675460305e-01 3.103011088442e+00 -1.163538919048e+00 1.939472169394e+00
1.900000000010e-01 6.105066507541e-01 3.101422303180e+00 -1.162041674585e+00 1.939380628595e+00
1.910000000010e-01 6.125359023074e-01 3.099829613307e+00 -1.160546712433e+00 1.939282900874e+00
1.920000000010e-01 6.145553353347e-01 3.098233051462e+00 -1.159054029166e+00 1.939179022296e+00
1.930000000010e-01 6.165649843699e-01 3.096632650110e+00 -1.157563621363e+00 1.939069028747e+00
1.940000000010e-01 6.185648838369e-01 3.095028441541e+00 -1.156075485599e+00 1.938952955942e+00
1.950000000010e-01 6.205550680500e-01 3.093420457870e+00 -1.154589618453e+00 1.938830839416e+00
1.960000000010e-01 6.225355712137e-01 3.091808731039e+00 -1.153106016503e+00 1.938702714536e+00
1.970000000010e-01 6.245064274233e-01 3.090193292819e+00 -1.151624676328e+00 1.938568616491e+00
1.980000000010e-01 6.264676706653e-01 3.088574174809e+00 -1.150145594507e+00 1.938428580302e+00
1.990000000010e-01 6.284193348171e-01 3.086951408438e+00 -1.148668767622e+00 1.938282640816e+00
2.000000000010e-01 6.303614536481e-01 3.085325024963e+00 -1.147194192252e+00 1.938130832710e+00
2.010000000010e-01 6.322940608191e-01 3.083695055474e+00 -1.145721864981e+00 1.937973190494e+00
2.020000000010e-01 6.342171898833e-01 3.082061530895e+00 -1.144251782391e+00 1.937809748504e+00
2.030000000010e-01 6.361308742859e-01 3.080424481978e+00 -1.142783941065e+00 1.937640540913e+00
2.040000000010e-01 6.380351473649e-01 3.078783939313e+00 -1.141318337590e+00 1.937465601723e+00
2.050000000010e-01 6.399300423513e-01 3.077139933322e+00 -1.139854968550e+00 1.937284964772e+00
2.060000000010e-01 6.418155923690e-01 3.075492494262e+00 -1.138393830532e+00 1.937098663730e+00
2.070000000010e-01 6.436918304354e-01 3.073841652229e+00 -1.136934920125e+00 1.936906732104e+00
2.080000000010e-01 6.455587894617e-01 3.072187437153e+00 -1.135478233918e+00 1.936709203235e+00
2.090000000010e-01 6.474165022528e-01 3.070529878802e+00 -1.134023768500e+00 1.936506110302e+00
2.100000000010e-01 6.492650015080e-01 3.068869006784e+00 -1.132571520463e+00 1.936297486321e+00
2.110000000010e-01 6.511043198211e-01 3.067204850545e+00 -1.131121486401e+00 1.936083364144e+00
2.120000000010e-01 6.529344896805e-01 3.065537439371e+00 -1.129673662906e+00 1.935863776465e+00
2.130000000010e-01 6.547555434698e-01 3.063866802389e+00 -1.128228046574e+00 1.935638755815e+00
2.140000000010e-01 6.565675134678e-01 3.062192968570e+00 -1.126784634002e+00 1.935408334567e+00
2.150000000010e-01 6.583704318488e-01 3.060515966723e+00 -1.125343421788e+00 1.935172544934e+00
2.160000000010e-01 6.601643306830e-01 3.058835825503e+00 -1.123904406532e+00 1.934931418972e+00
2.170000000010e-01 6.619492419367e-01 3.057152573410e+00 -1.122467584834e+00 1.934684988577e+00
2.180000000010e-01 6.637251974726e-01 3.055466238787e+00 -1.121032953297e+00 1.934433285490e+00
2.190000000010e-01 6.654922290500e-01 3.053776849821e+00 -1.119600508524e+00 1.934176341297e+00
2.200000000010e-01 6.672503683251e-01 3.052084434549e+00 -1.118170247122e+00 1.933914187427e+00
2.210000000010e-01 6.689996468512e-01 3.050389020853e+00 -1.116742165698e+00 1.933646855155e+00
2.220000000010e-01 6.707400960792e-01 3.048690636463e+00 -1.115316260861e+00 1.933374375602e+00
2.230000000010e-01 6.724717473577e-01 3.046989308957e+00 -1.113892529221e+00 1.933096779736e+00
2.240000000010e-01 6.741946319331e-01 3.045285065763e+00 -1.112470967391e+00 1.932814098372e+00
2.250000000010e-01 6.759087809503e-01 3.043577934159e+00 -1.111051571984e+00 1.932526362176e+00
2.260000000010e-01 6.776142254525e-01 3.041867941275e+00 -1.109634339616e+00 1.932233601659e+00
2.270000000010e-01 6.793109963818e-01 3.040155114090e+00 -1.108219266906e+00 1.931935847184e+00
2.280000000010e-01 6.809991245794e-01 3.038439479436e+00 -1.106806350472e+00 1.931633128964e+00
2.290000000010e-01 6.826786407858e-01 3.036721064001e+00 -1.105395586936e+00 1.931325477064e+00
2.300000000010e-01 6.843495756411e-01 3.034999894322e+00 -1.103986972922e+00 1.931012921400e+00
2.310000000010e-01 6.860119596852e-01 3.033275996794e+00 -1.102580505055e+00 1.930695491739e+00
2.320000000010e-01 6.876658233583e-01 3.031549397665e+00 -1.101176179961e+00 1.930373217704e+00
2.330000000010e-01 6.893111970007e-01 3.029820123042e+00 -1.099773994271e+00 1.930046128771e+00
2.340000000010e-01 6.909481108538e-01 3.028088198884e+00 -1.098373944615e+00 1.929714254269e+00
2.350000000010e-01 6.925765950596e-01 3.026353651012e+00 -1.096976027628e+00 1.929377623384e+00
2.360000000010e-01 6.941966796615e-01 3.024616505102e+00 -1.095580239944e+00 1.929036265158e+00
2.370000000010e-01 6.958083946043e-01 3.022876786690e+00 -1.094186578201e+00 1.928690208489e+00
2.380000000010e-01 6.974117697346e-01 3.021134521171e+00 -1.092795039040e+00 1.928339482131e+00
2.390000000010e-01 6.990068348009e-01 3.019389733800e+00 -1.091405619102e+00 1.927984114698e+00
2.400000000010e-01 7.005936194542e-01 3.017642449693e+00 -1.090018315031e+00 1.927624134662e+00
2.410000000010e-01 7.021721532479e-01 3.015892693829e+00 -1.088633123475e+00 1.927259570355e+00
2.420000000010e-01 7.037424656383e-01 3.014140491047e+00 -1.087250041081e+00 1.926890449966e+00
2.430000000010e-01 7.053045859847e-01 3.012385866051e+00 -1.085869064502e+00 1.926516801549e+00
2.440000000010e-01 7.068585435498e-01 3.010628843405e+00 -1.084490190390e+00 1.926138653015e+00
2.450000000010e-01 7.084043675000e-01 3.008869447543e+00 -1.083113415402e+00 1.925756032141e+00
2.460000000010e-01 7.099420869056e-01 3.007107702758e+00 -1.081738736195e+00 1.925368966563e+00
2.470000000010e-01 7.114717307409e-01 3.005343633213e+00 -1.080366149431e+00 1.924977483781e+00
2.480000000010e-01 7.129933278847e-01 3.003577262935e+00 -1.078995651773e+00 1.924581611162e+00
2.490000000010e-01 7.145069071206e-01 3.001808615818e+00 -1.077627239886e+00 1.924181375932e+00
2.500000000010e-01 7.160124971371e-01 3.000037715626e+00 -1.076260910439e+00 1.923776805187e+00
2.510000000010e-01 7.175101265279e-01 2.998264585988e+00 -1.074896660101e+00 1.923367925887e+00
2.520000000010e-01 7.189998237922e-01 2.996489250405e+00 -1.073534485548e+00 1.922954764857e+00
2.530000000010e-01 7.204816173350e-01 2.994711732245e+00 -1.072174383453e+00 1.922537348792e+00
2.540000000010e-01 7.219555354673e-01 2.992932054747e+00 -1.070816350496e+00 1.922115704251e+00
2.550000000010e-01 7.234216064064e-01 2.991150241023e+00 -1.069460383359e+00 1.921689857665e+00
2.560000000010e-01 7.248798582760e-01 2.989366314054e+00 -1.068106478723e+00 1.921259835330e+00
2.570000000010e-01 7.263303191070e-01 2.987580296693e+00 -1.066754633277e+00 1.920825663416e+00
2.580000000010e-01 7.277730168371e-01 2.985792211668e+00 -1.065404843709e+00 1.920387367959e+00
2.590000000010e-01 7.292079793113e-01 2.984002081580e+00 -1.064057106712e+00 1.919944974868e+00
2.600000000010e-01 7.306352342825e-01 2.982209928902e+00 -1.062711418979e+00 1.919498509923e+00
2.610000000010e-01 7.320548094112e-01 2.980415775984e+00 -1.061367777209e+00 1.919047998775e+00
2.620000000010e-01 7.334667322661e-01 2.978619645050e+00 -1.060026178101e+00 1.918593466949e+00
2.630000000010e-01 7.348710303245e-01 2.976821558201e+00 -1.058686618358e+00 1.918134939843e+00
2.640000000010e-01 7.362677309721e-01 2.975021537414e+00 -1.057349094687e+00 1.917672442727e+00
2.650000000010e-01 7.376568615038e-01 2.973219604544e+00 -1.056013603797e+00 1.917206000747e+00
2.660000000010e-01 7.390384491234e-01 2.971415781322e+00 -1.054680142399e+00 1.916735638923e+00
2.670000000010e-01 7.404125209445e-01 2.969610089359e+00 -1.053348707207e+00 1.916261382152e+00
2.680000000010e-01 7.417791039901e-01 2.967802550146e+00 -1.052019294940e+00 1.915783255206e+00
2.690000000010e-01 7.431382251933e-01 2.965993185051e+00 -1.050691902318e+00 1.915301282733e+00
2.700000000010e-01 7.444899113976e-01 2.964182015323e+00 -1.049366526064e+00 1.914815489260e+00
2.710000000010e-01 7.458341893568e-01 2.962369062095e+00 -1.048043162905e+00 1.914325899190e+00
2.720000000010e-01 7.471710857355e-01 2.960554346376e+00 -1.046721809570e+00 1.913832536807e+00
